slug,name,preferred,security_emails,policy_url,portal_type,portal_url,immunefi_url,last_verified,confidence,needs_review
vechain,Vechain,direct,,,,,,2026-02-12,0.3,true
velodromefinance,Velodrome Finance,direct,,,,,,2026-02-12,0.3,true
velvet-capital-v2,Velvet Capital V2,direct,,,,,,2026-02-12,0.3,true
velvetcapital,Velvetcapital,direct,,,,,,2026-02-12,0.3,true
vesper,Vesper,direct,,,,,,2026-02-12,0.3,true
vesu,Vesu,direct,,,,,,2026-02-12,0.3,true
virtuals-protocol,Virtuals Protocol,direct,,,,,,2026-02-12,0.3,true
voltz,Voltz,direct,,,,,,2026-02-12,0.3,true
waymont,Waymont,direct,,,,,,2026-02-12,0.3,true
wepiggy,Wepiggy,direct,,,,,,2026-02-12,0.3,true
wildcatprotocol,Wildcatprotocol,direct,,,,,,2026-02-12,0.3,true
wombatexchange,Wombatexchange,direct,,,,,,2026-02-12,0.3,true
woofi,WOOFi,direct,,,,,,2026-02-12,0.3,true
wormhole,Wormhole,direct,,,,,,2026-02-12,0.3,true
xion,XION,direct,,,,,,2026-02-12,0.3,true
xoxno,Xoxno,direct,,,,,,2026-02-12,0.3,true
xterio,Xterio,direct,,,,,,2026-02-12,0.3,true
yamatoprotocol,Yamatoprotocol,direct,,,,,,2026-02-12,0.3,true
yearnfinance,Yearn Finance,direct,,,,,,2026-02-12,0.3,true
yelay,Yelay,direct,,,,,,2026-02-12,0.3,true
yieldnest,Yieldnest,direct,,,,,,2026-02-12,0.3,true
yo-protocol,Yo Protocol,direct,,,,,,2026-02-12,0.3,true
zano,Zano,direct,,,,,,2026-02-12,0.3,true
zenlink,Zenlink,direct,,,,,,2026-02-12,0.3,true
zerion,Zerion,direct,,,,,,2026-02-12,0.3,true
zerolend,Zerolend,direct,,,,,,2026-02-12,0.3,true
zest-protocol-v2,Zest Protocol V2,direct,,,,,,2026-02-12,0.3,true
zksync-os,Zksync Os,direct,,,,,,2026-02-12,0.3,true
zksync,ZKsync Lite,direct,,,,,,2026-02-12,0.3,true
zksyncera,ZKsync Era,direct,,,,,,2026-02-12,0.3,true
zkverify,Zkverify,direct,,,,,,2026-02-12,0.3,true
zodiac,Zodiac,direct,,,,,,2026-02-12,0.3,true
